Fecha;Precio;Apertura;Maximo;Minimo;Diferencia
Oct 22, 2021;3,768.00;3,781.00;3,789.00;3,766.55;-0.28%
Oct 21, 2021;3,778.53;3,768.09;3,788.00;3,765.43;0.34%
Oct 20, 2021;3,765.62;3,766.80;3,776.50;3,760.00;0.03%
Oct 19, 2021;3,764.33;3,769.00;3,772.00;3,750.50;-0.06%
Oct 18, 2021;3,766.53;3,763.67;3,774.00;3,758.00;0.14%
Oct 15, 2021;3,761.20;3,769.50;3,785.30;3,755.55;-0.15%
Oct 14, 2021;3,767.03;3,740.00;3,774.45;3,734.61;0.79%
Oct 13, 2021;3,737.53;3,721.50;3,745.00;3,713.50;0.50%
Oct 12, 2021;3,719.03;3,753.00;3,773.32;3,716.68;-0.84%
Oct 11, 2021;3,750.53;3,767.35;3,767.35;3,753.00;-0.38%
Oct 08, 2021;3,764.88;3,774.50;3,775.56;3,757.98;-0.19%
Oct 07, 2021;3,772.03;3,788.00;3,788.00;3,761.63;-0.36%
Oct 06, 2021;3,785.53;3,783.50;3,804.50;3,777.10;0.12%
Oct 05, 2021;3,781.03;3,790.00;3,804.58;3,781.98;-0.17%
Oct 04, 2021;3,787.53;3,790.00;3,799.30;3,776.00;0.00%
Oct 01, 2021;3,787.53;3,807.80;3,807.80;3,767.00;-0.47%
Sep 30, 2021;3,805.33;3,836.00;3,839.00;3,803.00;-0.74%
Sep 29, 2021;3,833.53;3,834.00;3,845.26;3,823.40;0.05%
Sep 28, 2021;3,831.53;3,843.25;3,850.41;3,830.10;-0.24%
Sep 27, 2021;3,840.78;3,834.57;3,847.12;3,832.67;0.23%
Sep 24, 2021;3,832.10;3,834.00;3,867.19;3,832.00;0.01%
Sep 23, 2021;3,831.53;3,833.00;3,841.70;3,827.64;0.03%
Sep 22, 2021;3,830.53;3,837.25;3,841.74;3,822.50;-0.11%
Sep 21, 2021;3,834.78;3,844.00;3,849.70;3,835.00;-0.18%
Sep 20, 2021;3,841.53;3,827.50;3,859.50;3,824.68;0.43%
Sep 17, 2021;3,825.03;3,817.17;3,839.30;3,811.76;0.27%
Sep 16, 2021;3,814.70;3,815.00;3,829.32;3,803.46;0.06%
Sep 15, 2021;3,812.53;3,830.49;3,837.09;3,807.19;-0.40%
Sep 14, 2021;3,828.02;3,830.60;3,837.73;3,816.83;-0.00%
Sep 13, 2021;3,828.13;3,835.00;3,843.48;3,822.59;-0.11%
Sep 10, 2021;3,832.53;3,843.70;3,846.42;3,825.93;-0.23%
Sep 09, 2021;3,841.23;3,816.55;3,844.08;3,811.35;0.71%
Sep 08, 2021;3,814.08;3,800.00;3,824.59;3,798.20;0.44%
Sep 07, 2021;3,797.53;3,800.00;3,820.98;3,795.51;0.00%
Sep 06, 2021;3,797.53;3,800.00;3,800.00;3,800.00;0.00%
Sep 03, 2021;3,797.53;3,795.00;3,809.33;3,773.00;0.13%
Sep 02, 2021;3,792.53;3,760.00;3,801.97;3,755.54;0.93%
Sep 01, 2021;3,757.53;3,769.15;3,777.64;3,738.90;-0.24%
Aug 31, 2021;3,766.68;3,816.75;3,819.88;3,761.50;-1.21%
Aug 30, 2021;3,812.65;3,829.01;3,836.58;3,796.95;-0.32%
Aug 27, 2021;3,824.91;3,867.75;3,867.75;3,822.23;-1.06%
Aug 26, 2021;3,865.75;3,865.50;3,880.00;3,861.45;0.06%
Aug 25, 2021;3,863.50;3,867.00;3,877.26;3,853.16;-0.04%
Aug 24, 2021;3,865.00;3,881.95;3,881.95;3,849.60;-0.39%
Aug 23, 2021;3,879.95;3,872.00;3,882.84;3,847.00;0.26%
Aug 20, 2021;3,870.00;3,870.40;3,889.00;3,863.65;0.09%
Aug 19, 2021;3,866.40;3,851.50;3,892.00;3,848.28;0.49%
Aug 18, 2021;3,847.50;3,880.00;3,886.65;3,847.23;-0.74%
Aug 17, 2021;3,876.00;3,842.20;3,885.00;3,840.75;0.98%
Aug 16, 2021;3,838.20;3,842.20;3,854.45;3,838.88;0.00%
Aug 13, 2021;3,838.20;3,859.00;3,859.00;3,813.50;-0.44%
Aug 12, 2021;3,855.00;3,942.20;3,953.93;3,848.01;-2.11%
Aug 11, 2021;3,938.20;3,968.00;3,971.94;3,940.80;-0.65%
Aug 10, 2021;3,964.00;3,997.35;4,009.14;3,960.05;-0.73%
Aug 09, 2021;3,993.35;3,967.10;4,002.41;3,956.64;0.76%
Aug 06, 2021;3,963.10;3,918.00;3,976.07;3,907.32;1.25%
Aug 05, 2021;3,914.00;3,903.00;3,923.12;3,895.00;0.38%
Aug 04, 2021;3,899.00;3,909.75;3,924.78;3,888.30;-0.17%
Aug 03, 2021;3,905.75;3,891.50;3,926.09;3,886.00;0.47%
Aug 02, 2021;3,887.50;3,878.00;3,895.78;3,835.27;0.35%
Jul 30, 2021;3,874.00;3,847.60;3,886.14;3,841.65;0.79%
Jul 29, 2021;3,843.60;3,873.50;3,877.42;3,826.95;-0.62%
Jul 28, 2021;3,867.50;3,932.00;3,936.90;3,873.00;-1.54%
Jul 27, 2021;3,928.00;3,913.50;3,939.70;3,897.00;0.47%
Jul 26, 2021;3,909.50;3,889.00;3,917.81;3,889.00;0.63%
Jul 23, 2021;3,885.00;3,870.20;3,890.00;3,857.18;0.49%
Jul 22, 2021;3,866.20;3,855.00;3,879.34;3,847.43;0.39%
Jul 21, 2021;3,851.00;3,835.50;3,872.05;3,835.50;0.51%
Jul 20, 2021;3,831.50;3,835.50;3,848.58;3,833.77;0.00%
Jul 19, 2021;3,831.50;3,817.60;3,858.35;3,817.60;0.47%
Jul 16, 2021;3,813.60;3,816.02;3,821.33;3,797.94;0.04%
Jul 15, 2021;3,812.02;3,794.02;3,820.02;3,793.26;0.58%
Jul 14, 2021;3,790.02;3,823.20;3,823.20;3,786.90;-0.76%
Jul 13, 2021;3,819.20;3,822.10;3,836.95;3,812.90;0.03%
Jul 12, 2021;3,818.10;3,831.00;3,840.50;3,814.50;-0.23%
Jul 09, 2021;3,827.00;3,841.00;3,846.72;3,812.05;-0.26%
Jul 08, 2021;3,837.00;3,832.00;3,864.50;3,830.88;0.24%
Jul 07, 2021;3,828.00;3,779.50;3,834.72;3,773.48;1.39%
Jul 06, 2021;3,775.50;3,742.00;3,800.00;3,739.89;0.98%
Jul 05, 2021;3,739.00;3,742.00;3,742.00;3,742.00;0.00%
Jul 02, 2021;3,739.00;3,778.00;3,799.00;3,742.00;-0.98%
Jul 01, 2021;3,776.00;3,750.00;3,793.00;3,725.80;0.77%
Jun 30, 2021;3,747.00;3,767.50;3,774.80;3,728.80;-0.46%
Jun 29, 2021;3,764.50;3,703.00;3,777.00;3,703.00;1.74%
Jun 28, 2021;3,700.00;3,745.15;3,754.08;3,702.80;-1.13%
Jun 25, 2021;3,742.15;3,766.25;3,774.00;3,724.23;-0.56%
Jun 24, 2021;3,763.25;3,784.05;3,784.05;3,753.50;-0.47%
Jun 23, 2021;3,781.05;3,782.10;3,789.99;3,749.35;0.05%
Jun 22, 2021;3,779.10;3,760.05;3,798.00;3,759.10;0.59%
Jun 21, 2021;3,757.05;3,769.00;3,769.00;3,740.00;-0.24%
Jun 18, 2021;3,766.00;3,729.00;3,769.50;3,724.69;1.07%
Jun 17, 2021;3,726.00;3,674.00;3,739.00;3,674.00;1.48%
Jun 16, 2021;3,671.75;3,698.00;3,705.22;3,674.00;-0.65%
Jun 15, 2021;3,695.75;3,654.50;3,703.00;3,654.50;1.19%
Jun 14, 2021;3,652.25;3,654.50;3,660.00;3,644.09;0.00%
Jun 11, 2021;3,652.25;3,606.00;3,657.50;3,591.90;1.35%
Jun 10, 2021;3,603.75;3,588.93;3,609.00;3,578.50;0.47%
Jun 09, 2021;3,586.93;3,594.60;3,599.28;3,573.00;-0.15%
Jun 08, 2021;3,592.35;3,607.50;3,613.19;3,584.26;-0.36%
Jun 07, 2021;3,605.25;3,607.50;3,615.11;3,600.74;0.00%
Jun 04, 2021;3,605.25;3,661.00;3,661.36;3,593.60;-1.46%
Jun 03, 2021;3,658.75;3,653.50;3,673.00;3,642.00;0.21%
Jun 02, 2021;3,651.25;3,666.30;3,666.30;3,624.95;-0.35%
Jun 01, 2021;3,664.05;3,708.00;3,708.00;3,662.30;-1.13%
May 31, 2021;3,705.75;3,708.00;3,709.61;3,705.38;0.00%
May 28, 2021;3,705.75;3,721.71;3,733.75;3,703.19;-0.37%
May 27, 2021;3,719.46;3,743.00;3,747.20;3,721.71;-0.57%
May 26, 2021;3,740.75;3,739.50;3,760.00;3,733.47;0.09%
May 25, 2021;3,737.25;3,734.50;3,747.00;3,720.91;0.13%
May 24, 2021;3,732.25;3,747.00;3,768.80;3,732.00;-0.33%
May 21, 2021;3,744.75;3,718.80;3,753.70;3,708.00;0.80%
May 20, 2021;3,715.05;3,684.95;3,748.00;3,681.26;0.86%
May 19, 2021;3,683.45;3,660.00;3,695.00;3,656.34;0.87%
May 18, 2021;3,651.56;3,685.50;3,686.09;3,643.35;-0.85%
May 17, 2021;3,682.88;3,685.50;3,689.25;3,679.49;0.00%
May 14, 2021;3,682.88;3,721.10;3,725.64;3,668.00;-0.96%
May 13, 2021;3,718.48;3,750.50;3,753.75;3,711.50;-0.78%
May 12, 2021;3,747.88;3,712.00;3,753.00;3,704.93;1.04%
May 11, 2021;3,709.38;3,706.80;3,728.80;3,684.00;0.14%
May 10, 2021;3,704.18;3,750.00;3,756.57;3,703.64;-1.15%
May 07, 2021;3,747.38;3,804.00;3,805.07;3,749.73;-1.42%
May 06, 2021;3,801.38;3,851.00;3,860.17;3,776.89;-1.22%
May 05, 2021;3,848.38;3,829.50;3,866.75;3,812.50;0.59%
May 04, 2021;3,825.75;3,804.95;3,846.00;3,800.56;0.62%
May 03, 2021;3,802.00;3,753.30;3,834.00;3,745.10;1.35%
Apr 30, 2021;3,751.43;3,715.10;3,759.05;3,709.59;1.03%
Apr 29, 2021;3,713.23;3,696.00;3,728.13;3,689.16;0.52%
Apr 28, 2021;3,694.13;3,718.25;3,723.57;3,691.35;-0.59%
Apr 27, 2021;3,716.00;3,695.00;3,738.10;3,679.27;0.62%
Apr 26, 2021;3,693.13;3,628.50;3,696.00;3,626.49;1.82%
Apr 23, 2021;3,627.00;3,635.35;3,651.60;3,624.00;-0.19%
Apr 22, 2021;3,633.85;3,614.00;3,643.60;3,597.00;0.59%
Apr 21, 2021;3,612.50;3,643.00;3,653.90;3,612.00;-0.80%
Apr 20, 2021;3,641.50;3,627.00;3,645.40;3,620.61;0.44%
Apr 19, 2021;3,625.50;3,603.00;3,630.80;3,593.21;0.66%
Apr 16, 2021;3,601.88;3,612.00;3,622.17;3,587.55;-0.24%
Apr 15, 2021;3,610.50;3,656.80;3,656.80;3,604.70;-1.23%
Apr 14, 2021;3,655.30;3,668.50;3,682.79;3,652.30;-0.32%
Apr 13, 2021;3,667.00;3,665.00;3,676.70;3,656.50;0.10%
Apr 12, 2021;3,663.50;3,659.50;3,666.50;3,638.02;0.15%
Apr 09, 2021;3,658.00;3,629.05;3,662.50;3,629.05;0.84%
Apr 08, 2021;3,627.55;3,654.59;3,656.89;3,626.03;-0.70%
Apr 07, 2021;3,653.09;3,636.50;3,662.50;3,616.70;0.49%
Apr 06, 2021;3,635.25;3,674.00;3,674.13;3,632.00;-1.02%
Apr 05, 2021;3,672.75;3,661.70;3,676.08;3,631.29;0.51%
Apr 02, 2021;3,654.20;3,661.70;3,662.06;3,653.71;0.00%
Apr 01, 2021;3,654.20;3,661.70;3,665.35;3,652.63;-0.13%
Mar 31, 2021;3,658.95;3,730.00;3,730.38;3,659.50;-1.83%
Mar 30, 2021;3,727.25;3,718.99;3,755.00;3,713.65;0.30%
Mar 29, 2021;3,716.24;3,689.89;3,719.50;3,689.89;0.79%
Mar 26, 2021;3,687.14;3,668.00;3,690.60;3,640.00;0.60%
Mar 25, 2021;3,665.25;3,649.40;3,669.49;3,645.10;0.51%
